Frame,Timestamp,Width_px,Height_px,Depth_cm,Category,Confidence,X1,Y1,X2,Y2
159,6.36,310,103,25.0,critical,0.705,966,249,1276,352
159,6.36,130,107,25.0,critical,0.704,0,611,130,718
162,6.48,297,109,25.0,critical,0.738,983,255,1280,364
162,6.48,229,81,25.0,critical,0.631,222,335,451,416
165,6.60,253,94,25.0,critical,0.901,194,349,447,443
165,6.60,275,132,25.0,critical,0.638,1003,257,1278,389
168,6.72,249,105,25.0,critical,0.870,184,366,433,471
168,6.72,263,133,25.0,critical,0.700,1015,261,1278,394
171,6.84,279,114,25.0,critical,0.936,149,377,428,491
171,6.84,196,93,25.0,critical,0.716,253,521,449,614
171,6.84,259,139,25.0,critical,0.644,1019,268,1278,407
174,6.96,298,127,25.0,critical,0.934,126,400,424,527
174,6.96,213,109,25.0,critical,0.712,209,566,422,675
174,6.96,245,141,25.0,critical,0.660,1034,276,1279,417
177,7.08,307,149,25.0,critical,0.894,92,419,399,568
177,7.08,222,134,25.0,critical,0.714,1057,288,1279,422
180,7.20,313,173,25.0,critical,0.842,73,445,386,618
180,7.20,202,136,25.0,critical,0.646,1077,292,1279,428
183,7.32,359,203,25.0,critical,0.713,17,476,376,679
183,7.32,183,125,25.0,critical,0.605,1096,301,1279,426
183,7.32,61,45,25.0,critical,0.510,0,207,61,252
186,7.44,203,61,25.0,critical,0.624,325,290,528,351
186,7.44,321,216,25.0,critical,0.600,0,504,321,720
186,7.44,169,105,25.0,critical,0.507,1110,317,1279,422
189,7.56,136,79,25.0,critical,0.672,1143,322,1279,401
189,7.56,217,67,25.0,critical,0.639,315,298,532,365
189,7.56,123,67,25.0,critical,0.635,659,433,782,500
189,7.56,229,170,25.0,critical,0.517,3,550,232,720
192,7.68,136,73,25.0,critical,0.712,668,469,804,542
192,7.68,115,61,25.0,critical,0.574,1164,336,1279,397
195,7.80,146,81,25.0,critical,0.801,683,507,829,588
195,7.80,275,77,25.0,critical,0.707,286,324,561,401
195,7.80,250,76,25.0,critical,0.616,467,387,717,463
198,7.92,151,100,25.0,critical,0.921,697,546,848,646
198,7.92,267,85,25.0,critical,0.677,461,411,728,496
198,7.92,361,85,25.0,critical,0.505,255,341,616,426
201,8.04,161,114,25.0,critical,0.931,709,578,870,692
201,8.04,330,91,25.0,critical,0.824,252,352,582,443
201,8.04,272,104,25.0,critical,0.767,456,427,728,531
204,8.16,297,121,25.0,critical,0.896,454,451,751,572
204,8.16,358,101,25.0,critical,0.778,219,368,577,469
207,8.28,391,116,25.0,critical,0.895,204,387,595,503
207,8.28,306,143,25.0,critical,0.876,457,485,763,628
210,8.40,376,128,25.0,critical,0.876,177,413,553,541
210,8.40,366,164,25.0,critical,0.798,421,528,787,692
213,8.52,417,153,25.0,critical,0.816,146,435,563,588
213,8.52,229,62,25.0,critical,0.591,452,298,681,360
216,8.64,424,178,25.0,critical,0.776,121,463,545,641
219,8.76,246,73,25.0,critical,0.770,449,323,695,396
222,8.88,263,77,25.0,critical,0.617,431,341,694,418
222,8.88,106,32,25.0,critical,0.565,322,237,428,269
222,8.88,534,191,25.0,critical,0.553,54,529,588,720
222,8.88,127,35,25.0,critical,0.537,851,219,978,254
225,9.00,280,87,25.0,critical,0.814,435,354,715,441
228,9.12,310,93,25.0,critical,0.699,411,370,721,463
228,9.12,113,32,25.0,critical,0.564,309,249,422,281
228,9.12,130,34,25.0,critical,0.519,1089,307,1219,341
231,9.24,310,100,25.0,critical,0.811,415,383,725,483
231,9.24,112,35,25.0,critical,0.557,296,255,408,290
234,9.36,123,40,25.0,critical,0.784,289,257,412,297
234,9.36,337,118,25.0,critical,0.755,406,400,743,518
234,9.36,183,49,25.0,critical,0.750,375,316,558,365
234,9.36,151,38,25.0,critical,0.586,884,239,1035,277
237,9.48,364,135,25.0,critical,0.743,391,421,755,556
237,9.48,128,44,25.0,critical,0.710,277,266,405,310
237,9.48,191,60,25.0,critical,0.617,370,324,561,384
237,9.48,157,46,25.0,critical,0.591,893,242,1050,288
240,9.60,201,62,25.0,critical,0.761,361,340,562,402
240,9.60,140,45,25.0,critical,0.744,263,273,403,318
240,9.60,163,43,25.0,critical,0.722,911,251,1074,294
240,9.60,382,164,25.0,critical,0.549,382,444,764,608
243,9.72,218,72,25.0,critical,0.824,347,354,565,426
243,9.72,141,47,25.0,critical,0.722,253,284,394,331
243,9.72,168,44,25.0,critical,0.719,927,257,1095,301
246,9.84,159,51,25.0,critical,0.801,230,293,389,344
246,9.84,170,47,25.0,critical,0.755,966,392,1136,439
246,9.84,237,72,25.0,critical,0.728,326,375,563,447
246,9.84,183,49,25.0,critical,0.685,935,262,1118,311
246,9.84,513,210,25.0,critical,0.587,332,510,845,720
249,9.96,256,85,25.0,critical,0.815,309,391,565,476
249,9.96,157,50,25.0,critical,0.770,215,307,372,357
249,9.96,190,52,25.0,critical,0.701,953,269,1143,321
249,9.96,175,49,25.0,critical,0.686,1002,413,1177,462
249,9.96,172,36,25.0,critical,0.502,696,162,868,198
252,10.08,178,56,25.0,critical,0.883,194,319,372,375
252,10.08,272,91,25.0,critical,0.820,294,419,566,510
252,10.08,188,53,25.0,critical,0.678,1040,438,1228,491
252,10.08,193,53,25.0,critical,0.647,978,278,1171,331
252,10.08,179,38,25.0,critical,0.598,695,162,874,200
255,10.20,186,63,25.0,critical,0.856,176,333,362,396
255,10.20,297,104,25.0,critical,0.841,274,446,571,550
255,10.20,201,58,25.0,critical,0.736,1079,467,1280,525
255,10.20,214,54,25.0,critical,0.653,998,294,1212,348
255,10.20,184,38,25.0,critical,0.584,698,163,882,201
258,10.32,328,123,25.0,critical,0.898,249,479,577,602
258,10.32,202,66,25.0,critical,0.868,149,351,351,417
258,10.32,222,63,25.0,critical,0.689,1023,297,1245,360
